"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"1689","the animal","11090",2001-06-01,"robschneider",1,84,2.2e+07,55762229,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"161","atlantis the lost empire","10865",2001-06-02,"michaeljfox",3,95,9e+07,84052762,"Q2",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1652","swordfish","9705",2001-06-07,"johntravolta",6,99,8e+07,69772969,"Q2",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"592","evolution","9397",2001-06-08,"davidduchovny",4,101,8e+07,38311134,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"177","baby boy","16161",2001-06-27,"tyresegibson",1,130,1.6e+07,28734552,"Q2",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"446","crazy beautiful","10691",2001-06-29,"kirstendunst",3,99,1.3e+07,16929123,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1292","pandaemonium","40880",2001-06-29,"linusroache",2,124,1.5e+07,34513500.7541806,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"624","final fantasy the spirits within","2114",2001-07-02,"donaldsutherland",2,106,1.37e+08,32131830,"Q3",1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"983","kiss of the dragon","2140",2001-07-06,"jetli",2,98,2.5e+07,36833473,"Q3",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"1015","legally blonde","8835",2001-07-13,"reesewitherspoon",3,96,1.8e+07,96493426,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959","jurassic park iii","331",2001-07-18,"samneill",2,92,9.3e+07,181166115,"Q3",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"719","ghost world","1548",2001-07-20,"thorabirch",1,111,5500000,6217849,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"926","jackpot","196859",2001-07-26,"jongries",1,97,4e+05,44452,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1275","original sin","2057",2001-08-03,"angelinajolie",4,118,2.6e+07,16521410,"Q3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2017","the princess diaries","9880",2001-08-03,"annehathaway",4,115,3e+07,108244774,"Q3",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1277","osmosis jones","12610",2001-08-07,"chrisrock",1,95,7e+07,13596911,"Q3",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1500","session 9","10972",2001-08-10,"petermullan",1,100,1500000,378176,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"1631","summer catch","26602",2001-08-22,"freddieprinzejr",3,108,1.7e+07,19693891,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1079","lucky break","35944",2001-08-24,"jamesnesbitt",1,107,6e+06,54606,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1164","monsoon wedding","480",2001-08-30,"naseeruddinshah",1,114,1200000,13876974,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"237","betty fisher et autres histoires","55903",2001-09-01,"sandrinekiberlain",1,103,7500000,206400,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"2132","thirteen conversations about one thing","17734",2001-09-02,"johnturturro",2,104,3e+06,3287435,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"247","birthday girl","2084",2001-09-06,"nicolekidman",5,93,1.3e+07,4919896,"Q1",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"1570","soul survivors","14033",2001-09-06,"elizadushku",1,84,1.4e+07,3100650,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"986","knockaround guys","7501",2001-09-07,"barrypepper",1,92,1.5e+07,11660180,"Q4",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
